65.5619,191.1356,165.5485
79.8443,147.9062,194.0003
79.0854,138.3693,184.3747
70.3487,298.5115,325.8036
44.9696,216.3177,149.0366
72.8544,284.3273,228.5356
19.5704,257.286,212.823
39.6789,225.0748,341.3571
77.9344,285.7755,319.9943
79.3514,249.4437,230.3951
53.8297,165.5017,302.5304
88.6371,132.7508,196.0739
33.2399,234.5663,346.9656
60.6354,258.6966,233.9842
39.9649,212.9871,146.8241
24.695,255.3986,207.6846
71.8271,287.5381,328.1375
56.8171,253.7059,151.3429
77.9181,286.7992,322.0657
51.5284,172.7167,215.6224
43.1835,285.0112,316.9446
65.981,244.0297,382.6836
70.8046,279.3897,211.1619
54.8387,172.4282,325.0477
54.8641,264.2207,195.1682
54.1702,273.4387,344.3407
22.7346,226.9508,206.9319
24.5886,261.8385,309.4939
47.2692,275.9992,196.902
52.368,216.3952,348.8499
58.5458,263.4007,156.9617
39.3261,262.0258,347.6561
61.5792,287.3834,325.1186
47.3517,277.7486,210.063
80.1303,280.2446,225.2691
71.6232,306.162,195.7463
26.6482,262.5493,224.191
21.2905,243.9998,317.4295
55.9102,263.7512,373.864
66.9726,158.04,175.5525
54.2249,272.3156,345.2754
36.4856,187.0602,200.4475
28.5105,268.248,316.9172
51.1361,150.7292,284.5494
51.5379,266.3593,357.9611
64.1925,153.306,184.2975
51.5611,240.0759,359.3497
43.3354,195.8582,204.0013
84.0247,145.7948,194.8728
34.026,263.3861,335.6928
22.6837,239.1356,333.1938
39.8753,253.734,367.2252
71.0501,247.6235,213.2158
62.8455,162.9576,188.9104
84.2933,145.0994,215.9153
32.8741,259.4981,221.9926
51.7086,231.2911,164.0167
66.73,280.2456,215.2322
32.1157,204.6593,325.0369
85.9366,143.238,174.6329
52.9998,163.7246,224.1032
68.6876,201.4149,384.0666
51.724,263.9145,365.8427
69.2423,292.5429,208.9626
32.9105,199.1058,197.1763
34.4194,183.1463,185.1452
30.3384,244.5926,306.4188
44.2072,207.7714,142.4844
32.361,230.2474,344.6909
41.6165,256.9562,173.6376
58.0309,283.3811,180.2858
35.2964,277.2115,315.4609
26.97,235.7687,339.009
61.0384,180.2406,357.6589
40.6145,207.931,364.3955
58.1649,170.2897,162.2547
35.9422,186.0741,327.9041
36.6237,223.4461,158.5159
61.6418,221.7406,195.5543
62.391,253.1697,368.1881
42.9388,162.3802,322.4221
33.2482,205.3773,337.1299
52.4287,275.0031,197.8431
72.6854,200.7577,373.9842
56.0211,217.0606,135.0224
52.7725,168.5143,309.7454
36.73,251.9083,354.0604
72.7107,274.8848,183.7731
41.1268,235.9267,148.2409
48.4144,242.1796,359.4805
49.3149,287.1117,324.1012
52.752,273.1847,219.8203
